PRIMARY_KEY,REP_DATE,REP_TIME,LOCATION,X_COORDINATE,Y_COORDINATE,APD_sector,CouncilDistrict,county_description,ZIP,CENSUS_TRACT,RACE_KNOWN,Reason for Stop – TCOLE form,SEX,APD_RACE_DESC,Person Search YN,Search Based On,Search Found
20181510045,05/31/2018,38,200 S CONGRESS AVE,3113386,10068034,DA,Council District 9,TRAVIS COUNTY,78704,13.05,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,INCIDENTAL TO ARREST,OTHER
20181201434,04/30/2018,1933,S 1ST ST / W BEN WHITE BLVD SVRD EB,3106183,10055329,DA,Council District 3,TRAVIS COUNTY,78745,13.07,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,CASH
20181340115,05/14/2018,407,1800 E SH 71 EB,3137684,10053408,HE,Council District 2,TRAVIS COUNTY,78719,9800,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20181471629,05/28/2018,311,1701 BLUEBONNET LN,3105214,10065676,DA,Council District 5,TRAVIS COUNTY,78704,13.04,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,WHITE,YES,INCIDENTAL TO ARREST,DRUGS
20181511712,05/31/2018,2220,WILLOW HILL DR / S PLEASANT VALLEY RD,3120421,10058077,HE,Council District 3,TRAVIS COUNTY,78741,23.14,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181180804,04/28/2018,1417,2500 E 5TH ST,3123197,10067304,CH,Council District 3,TRAVIS COUNTY,78702,9.02,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,INCIDENTAL TO ARREST,DRUGS
20181271571,05/07/2018,2333,7700 N IH 35 SVRD SB,3126943,10096982,ID,Council District 4,TRAVIS COUNTY,78752,18.04,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181241369,05/04/2018,2313,1000 E RIVERSIDE DR,3115801,10064181,HE,Council District 9,TRAVIS COUNTY,78704,14.02,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,HISPANIC OR LATINO,NO,,
20181431549,05/23/2018,2051,1807 ROSEWOOD AVE,3121623,10071444,CH,Council District 1,TRAVIS COUNTY,78702,8.04,,Moving Traffic Violation,M,BLACK,NO,,
20181660202,06/15/2018,727,S 5TH ST / W OLTORF ST,3107720,10061823,DA,Council District 3,TRAVIS COUNTY,78704,13.07,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20181350027,05/15/2018,205,1647 RUTLAND DR,3122927,10109415,ED,Council District 4,TRAVIS COUNTY,78758,18.2,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181401148,05/20/2018,1748,4800 BLOCK PECAN BROOK DR,3140325,10089395,CH,Council District 1,TRAVIS COUNTY,78724,22.01,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20181580144,06/07/2018,212,E 6TH ST / TRINITY ST,3115415,10070416,GE,Council District 9,TRAVIS COUNTY,78701,11,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181580051,06/07/2018,2302,2600 S LAMAR BLVD,3103119,10062514,DA,Council District 5,TRAVIS COUNTY,78704,19.01,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181160034,04/26/2018,136,125 FREDERICK ST,3108815,10057074,DA,Council District 3,TRAVIS COUNTY,78704,13.08,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,INCIDENTAL TO ARREST,OTHER
20181170023,04/27/2018,13,11600 RESEARCH BLVD SVRD SB,3111816,10124410,AD,Council District 10,TRAVIS COUNTY,78759,25,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,DRUGS
20181451940,05/25/2018,2230,E 38TH HALF ST / AIRPORT BLVD,3125354,10078694,BA,Council District 1,TRAVIS COUNTY,78722,3.06,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,CASH
20181451677,05/25/2018,2154,10000 BLOCK N IH 35 SVRD NB,3131538,10105148,ED,Council District 4,TRAVIS COUNTY,78753,18.33,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,F,WHITE,YES,INCIDENTAL TO ARREST,OTHER
20181660542,06/15/2018,1030,7100 BLOCK CAMERON RD,3129586,10092018,ID,Council District 4,TRAVIS COUNTY,78752,18.12,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Moving Traffic Violation,F,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20181660542,06/15/2018,1030,7100 BLOCK CAMERON RD,3129586,10092018,ID,Council District 4,TRAVIS COUNTY,78752,18.12,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20181361869,05/16/2018,2159,7200 N IH 35 NB,3125987,10094556,ID,Council District 4,TRAVIS COUNTY,78752,18.12,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181690670,06/18/2018,1213,8800 BLOCK N IH 35 SVRD NB,3130174,10102513,ED,Council District 4,TRAVIS COUNTY,78753,18.13,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES,PROBABLE CAUSE,CASH
20181690670,06/18/2018,1213,8800 BLOCK N IH 35 SVRD NB,3130174,10102513,ED,Council District 4,TRAVIS COUNTY,78753,18.13,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Moving Traffic Violation,F,BLACK,YES,PROBABLE CAUSE,DRUGS
20181711477,06/20/2018,1926,LIGHTSEY RD / S 1ST ST,3107374,10057621,DA,Council District 3,TRAVIS COUNTY,78704,13.08,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
